,title,href,tag,summary
0,Parkland parents: 'I'm as stunned as the day Luke was killed',/news/world-us-canada-63251245,US & Canada,Families tell the BBC they believed until the last minute their children's killer would be executed.
1,Why the Parkland gunman was spared the death penalty,https://www.bbc.com/news/world-us-canada-63237156,US,
2,Rare protest against China's leader before meeting,https://www.bbc.com/news/world-asia-china-63238617,China,
3,Security fears force Dutch princess from student home,https://www.bbc.com/news/world-europe-63250967,Europe,
4,Gen Z's bleak financial future,https://www.bbc.com/worklife/article/20221013-why-gen-z-are-right-to-be-worried-about-money,Worklife,
5,Ukraine demands Red Cross visits notorious prison,/news/world-63251927,World,"An inspection of the Olenivka prison camp must be made within three days, officials say."
6,Capitol riot inquiry ordering Trump to testify,/news/world-us-canada-63251303,US & Canada,The surprise move came as the committee aired never-before-seen footage from the storming of Congress.
7,How big are Trump's legal problems?,/news/world-us-canada-61084161,US & Canada,It can be difficult to keep track of the ex-president's legal battles - here's what you need to know.
8,McTominay scores stoppage-time winner for Man Utd,/sport/football/63233663,European Football,Manchester United leave it late as Scott McTominay scores a stoppage-time winner over Omonia Nicosia in the Europa League.
9,Bowen equals European record as Hammers progress,/sport/football/63234700,European Football,West Ham guarantee a place in the Europa Conference League knockout stage with a win over Anderlecht in Group B.
10,Saka scores as Arsenal near Europa League knockouts,/sport/football/63236405,European Football,Arsenal take a big step towards qualifying for the Europa League knockout stage with a slender win at Bodo/Glimt.
11,The surprising ways rhythm shapes our brains before birth,/reel/video/p0d6k19w/can-music-shape-us-in-the-womb-,,
12,The paradise island where Napoleon's soldiers were left to rot,/reel/video/p0d3l77h/cabrera-the-heavenly-island-that-became-hell-on-earth,,
13,The theory that could solve one of evolution's biggest mysteries,/reel/video/p0d5zwbb/when-and-why-did-consciousness-evolve-on-earth-,,
14,"Iceland's 1,000-year-old turf homes",https://www.bbc.com/travel/article/20221013-turf-houses-icelands-original-green-buildings,Travel,They helped settle one of Europe's least-hospitable environments
15,The reinvention of the wine cork,https://www.bbc.com/future/article/20221013-why-the-humble-wine-cork-is-being-reinvented,Future,Finding new uses for this lightweight material could benefit the climate
16,The dream jobs that weren't worth it,https://www.bbc.com/worklife/article/20221010-the-workers-leaving-their-dream-jobs,Worklife,"""For that little money, you just think, what am I doing with my life?"""
17,The most disgusting films ever made,https://www.bbc.com/culture/article/20221013-triangle-of-sadness-and-the-grossest-films-ever-made,Culture,"From Alien to Triangle of Sadness, the power of the gross-out scene"
18,Queen premiere unheard Freddie Mercury song,https://www.bbc.com/news/entertainment-arts-63241308,Entertainment & Arts,Face It Alone was originally recorded for the band's 1989 album The Miracle
19,"Beach hut goes on market for £440,000",https://www.bbc.com/news/uk-england-dorset-63243467,Dorset,The hut has no toilet but has an asking price of more than the average Dorset home.
20,King Charles officially opens revamped Burrell,https://www.bbc.com/news/uk-scotland-glasgow-west-63246881,UK,The internationally renowned museum and gallery was first opened by his mother the Queen in 1983
21,Spain's magnificent medieval waterways,/future/article/20221011-the-moorish-invention-that-tamed-spains-mountains,,
22,What if we had limitless clean energy?,/future/article/20221006-what-would-happen-if-we-had-limitless-green-energy,,
23,Will Venice succumb to the sea?,/future/article/20220927-italys-plan-to-save-venice-from-sinking,,
24,First Ebola death recorded in Ugandan capital,/news/world-africa-63212117,Africa,Nineteen people have now died in this outbreak but there are no other recorded cases in Kampala.
25,India's solar powered future clashes with local life,https://www.bbc.co.uk/news/business-62848096,Business,
26,Emmerdale praised by the King as soap wins at NTAs,/news/entertainment-arts-63245342,Entertainment & Arts,
27,"UK heatwave broke dozens of records, new data shows",/news/science-environment-63244353,Science & Environment,
28,"Office time is not for video calls, says tech boss",/news/technology-63217973,Technology,
29,Covid protection may be boosted by genes - study,/news/health-63243679,Health,
30,Housing slowdown warning after mortgage rates rise,/news/business-63230000,Business,
31,Street photography exhibition extended,/news/uk-england-birmingham-63222871,Birmingham & Black Country,
32,Chris Killip: Retrospective for UK photographer,/news/in-pictures-63163667,In Pictures,
33,Dunfermline marks city status with new exhibition,/news/uk-scotland-edinburgh-east-fife-63201547,"Edinburgh, Fife & East Scotland",
34,Tragic boxing star's story told in forgotten photos,/news/uk-wales-63143785,Wales,
35,Africa's top shots: Patriotic portraits and red afros,/news/world-africa-63155899,Africa,
